t,trav_lidar,trav_thermal_filt,trav_eff
44.306,1.0,1.0,1.0
44.409,1.0,1.0,1.0
44.51,1.0,1.0,1.0
44.611,1.0,1.0,1.0
44.713,1.0,1.0,1.0
44.815,1.0,1.0,1.0
44.916,1.0,1.0,1.0
45.019,1.0,1.0,1.0
45.121,1.0,1.0,1.0
45.224,1.0,1.0,1.0
45.325,1.0,1.0,1.0
45.426,1.0,1.0,1.0
45.529,1.0,1.0,1.0
45.63,1.0,1.0,1.0
45.737,1.0,1.0,1.0
45.837,1.0,1.0,1.0
45.941,1.0,1.0,1.0
46.043,1.0,1.0,1.0
46.145,1.0,1.0,1.0
46.248,1.0,1.0,1.0
46.348,1.0,1.0,1.0
46.45,1.0,1.0,1.0
46.555,1.0,1.0,1.0
46.655,1.0,1.0,1.0
46.758,1.0,1.0,1.0
46.86,1.0,1.0,1.0
46.962,1.0,1.0,1.0
47.065,1.0,1.0,1.0
47.167,1.0,1.0,1.0
47.269,1.0,1.0,1.0
47.371,1.0,1.0,1.0
47.472,1.0,1.0,1.0
47.574,1.0,1.0,1.0
47.674,1.0,1.0,1.0
47.773,1.0,1.0,1.0
47.874,1.0,1.0,1.0
47.974,1.0,1.0,1.0
48.075,1.0,1.0,1.0
48.177,1.0,1.0,1.0
48.28,1.0,1.0,1.0
48.383,1.0,1.0,1.0
48.485,1.0,1.0,1.0
48.587,1.0,1.0,1.0
48.69,1.0,1.0,1.0
48.791,1.0,1.0,1.0
48.892,1.0,1.0,1.0
48.996,1.0,1.0,1.0
49.096,1.0,1.0,1.0
49.198,1.0,1.0,1.0
49.3,1.0,1.0,1.0
49.405,1.0,1.0,1.0
49.505,1.0,1.0,1.0
49.606,1.0,1.0,1.0
49.707,1.0,1.0,1.0
49.809,1.0,1.0,1.0
49.913,1.0,1.0,1.0
50.011,1.0,1.0,1.0
50.113,1.0,1.0,1.0
50.214,1.0,1.0,1.0
50.314,1.0,1.0,1.0
50.415,1.0,1.0,1.0
50.521,1.0,1.0,1.0
50.624,1.0,1.0,1.0
50.726,1.0,1.0,1.0
50.83,1.0,1.0,1.0
50.933,1.0,1.0,1.0
51.034,1.0,1.0,1.0
51.134,1.0,1.0,1.0
51.235,1.0,1.0,1.0
51.336,1.0,1.0,1.0
51.437,1.0,1.0,1.0
51.541,1.0,1.0,1.0
51.641,1.0,1.0,1.0
51.744,1.0,1.0,1.0
51.845,1.0,1.0,1.0
51.948,1.0,1.0,1.0
52.051,1.0,1.0,1.0
52.154,1.0,1.0,1.0
52.256,1.0,1.0,1.0
52.357,1.0,1.0,1.0
52.458,1.0,1.0,1.0
52.559,1.0,1.0,1.0
52.661,1.0,1.0,1.0
52.768,1.0,1.0,1.0
52.868,1.0,1.0,1.0
52.968,1.0,1.0,1.0
53.07,1.0,1.0,1.0
53.172,1.0,1.0,1.0
53.278,1.0,1.0,1.0
